,experiment_day,sex,Gal_positive,state,estrous_stage,ID_mouse,Genotype,Behaviour_6hFD,Cm(pF),Adaptive,I_zero,I_zero_reclassified,60mV,Firing_freq_(Hz)_I0,Instant_freq_(Hz),isi_(ms),cat_categ,CaT,Ih,Ih_at_-120mV,AP_ampl,AP_halfwidth,AP_time_to_peak,area(mV_ms),rheobase_at_-60mV_(pA),AHP_(mV),Vm,Input_Resistance,sPSC_frequency,sPSC_Amplitude(pA),sPSCs_Rise time,sPSCs (decay),AC-I0,AC_-60,Comments,estrous_confirmation
0,S1C1 20012023,F,no,Virgin-Gal -,P to E,JKAM54.2d,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,65.7343063,no,tonic,tonic,silent,0.31,0.58,3182.0,no,0.0,yes,7.63,94.6,1.15,0.67,109.0,30.0,-56.71,-49.12813827,250.106759,0.683098592,7.78,1.0,6.4965,,,,
1,S1C2 20012023,F,no,Virgin-Gal -,P to E,JKAM54.2d,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,75.82205647,?,tonic,tonic,silent,0.03,0.09,32461.0,no,0.0,yes,23.04,104.24,0.0,0.4,92.64,120.0,-58.9,-50.49784823,122.2854532,0.826315789,16.755,1.1,8.8464,,,,
2,S1C3 20012023,F,no,Virgin-Gal -,P to E,JKAM54.2d,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,50.91115175,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,42.0,0.0,-53.08462366,672.7667844,3.153536787,9.6,1.1,8.3191,,,,
3,S2C4 20012023,F,no,Virgin-Gal -,P to E,JKAM54.2d,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,21.40758608,no,tonic,tonic,silent,2.52,2.81,395.0,no,0.0,no,0.0,121.53,2.38,1.68,297.0,9.0,-61.9,-42.98773623,744.8640939,,,,,,,,
4,S2C5 20012023,F,no,Virgin-Gal -,P to E,JKAM54.2d,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,40.24342861,yes,silent,silent,silent,0.0,0.0,0.0,yes,26.46,yes,17.15,0.0,0.0,0.0,0.0,18.0,0.0,-55.05560312,627.4161825,4.314285714,8.3206,1.0,9.4346,,,,
5,S1C2 22012023,F,no,Virgin-Gal -,M,JKAM54.2b,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,57.69416988,yes,silent,silent,silent,0.0,0.0,0.0,yes,13.61,yes,2.12,0.0,0.0,0.0,0.0,24.0,0.0,-57.80112748,405.255776,0.5,12.015,1.0,6.17,,,,
6,S1C3 22012023,F,no,Virgin-Gal -,M,JKAM54.2b,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,47.08339957,yes,tonic,tonic,silent,0.44,0.63,2242.0,yes,10.56,yes,7.93,89.2,3.36,1.37,266.0,12.0,-61.8,-45.86970101,697.065263,0.266343826,9.6,1.3,8.9,,,,
7,S2C1 22012023,F,no,Virgin-Gal -,M,JKAM54.2b,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,,,,,,,,,,,,,,,,,,,,,0.235294118,12.35,2.6,11.45,,,,
8,S2C2 22012023,F,no,Virgin-Gal -,M,JKAM54.2b,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,30.31249845,yes,tonic,tonic,silent,0.41,0.82,2394.0,no,0.0,no,0.0,86.41,4.73,2.91,371.0,5.0,-65.4,-51.6958939,693.0029487,0.684224817,12.45,0.9,9.7,,,,
9,S1C1  1302202,F,no,Virgin-Gal -,P,JKAM55.1k,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,50.26240158,no,phasic,phasic,silent,0.1,1.0,9904.0,yes,,yes,1.83,56.39,4.53,1.81,229.0,6.0,-50.56,-49.41109988,1064.9,1.005813953,10.2,2.0,13.218,,,,
10,S1C2  1302202,F,no,Virgin-Gal -,P,JKAM55.1k,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,32.74407732,,phasic,phasic,silent,0.47,1.07,2108.0,,,,,103.73,2.92,2.23,329.0,4.0,-49.86,-41.27542791,,4.844982079,16.25,1.3,7.63,,,,
11,S1C3  1302202,F,no,Virgin-Gal -,P,JKAM55.1k,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,34.6670143,,tonic,tonic,silent,1.87,2.0,532.7,no,0.0,yes,19.53,78.83,2.43,1.52,183.26,,-47.8,-41.2284213,623.5887394,1.357256778,9.41,1.2,8.12,,,,
12,S1C1 23032023,F,no,Virgin-Gal -,P,JKAM55.2i,Gal-cre KI87; Rosa26 Tomato (Ai9),Pre,42.832,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,5.8,0.0,0.0,0.0,0.0,8.0,0.0,-62.54091185,787.8,4.182692308,12.52,1.3,9.4,,,,
